investment_code,CODIGO_UNICO,NUM_ANIO,COD_MES,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_CERT,MTO_COMPROM,SEC_EJEC,DES_UEP
2530397,2530397,2023,7,3500.0,0,0,4569.4,4569.4,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2023,9,4569.4,0,0,0.0,0.0,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2023,0,0.0,114734,0,0.0,0.0,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2024,6,0.0,0,0,2500.0,0.0,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2024,7,2500.0,0,0,6000.0,8500.0,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2024,9,6000.0,0,0,0.0,0.0,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2024,0,0.0,82400,1181990,0.0,0.0,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2025,0,0.0,0,1000,0.0,0.0,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2026,0,0.0,46400,1000000,0.0,0.0,726,REGION ANCASH SEDE CENTRAL
2380177,2380177,2017,9,3301.56,0,0,31977.32,3801.88,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2017,10,23647.26,0,0,0.0,23146.94,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2017,11,21129.23,0,0,31443.26,21129.23,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2017,12,21644.58,0,0,21621.0,21644.58,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2017,0,0.0,85042,0,0.0,0.0,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2018,1,0.0,0,0,4000.0,0.0,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2018,2,3657.23,0,0,0.0,3657.23,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2018,8,10086.6,0,0,224393.56,22156.1,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2018,9,192051.58,0,0,114919.26,203284.34,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2018,10,104168.43,0,0,475945.4,113406.17,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2018,11,87073.26,0,0,106425.0,118558.26,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2018,12,159225.35,0,0,94562.0,150822.55,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2018,0,0.0,1021036,0,0.0,0.0,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2019,3,6865.13,0,0,162000.0,6865.13,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2019,4,64289.33,0,0,36366.61,64289.33,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2019,5,16698.75,0,0,31962.66,35739.27,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2019,6,167704.52,0,0,127053.56,173523.01,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2019,7,111042.41,0,0,85106.23,99846.54,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2019,8,86643.12,0,0,32575.67,73329.99,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2019,9,114992.36,0,0,187884.69,124041.36,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2019,10,74842.41,0,0,314088.5,187515.01,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2019,11,191945.35,0,0,83054.25,79684.75,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2019,12,138976.37,0,0,526351.16,258220.66,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2019,0,0.0,1610136,850627,0.0,0.0,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2020,2,88874.28,0,0,740893.72,219874.29,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2020,3,94097.39,0,0,193017.46,161547.18,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2020,4,14325.81,0,0,14325.81,36215.81,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2020,5,8036.0,0,0,0.0,0.0,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2020,6,5599.04,0,0,-190042.4,6297.04,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2020,7,11473.4,0,0,94297.66,29419.26,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2020,8,75504.26,0,0,109172.07,117694.57,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2020,9,100205.45,0,0,138829.13,463912.26,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2020,10,586422.94,0,0,81322.29,103682.96,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2020,11,332024.07,0,0,191038.63,233409.27,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2020,12,67619.91,0,0,34020.61,34019.91,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2020,0,0.0,1501113,0,0.0,0.0,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2021,3,32327.91,0,0,32327.91,32327.91,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2021,4,0.0,0,0,450.0,0.0,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2021,5,848.0,0,0,398.0,848.0,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2021,6,0.0,0,0,2981.46,0.0,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2021,7,2981.46,0,0,0.0,2981.46,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2021,0,0.0,36398,0,0.0,0.0,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2022,7,0.0,0,0,21890.0,0.0,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2022,0,0.0,21890,0,0.0,0.0,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2453855,2453855,2020,4,0.0,0,0,2486088.66,0.0,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2020,8,0.0,0,0,113665.89,0.0,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2020,10,0.0,0,0,-11366.58,2237479.0,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2020,11,186159.49,0,0,0.0,102299.31,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2020,12,681785.65,0,0,0.0,2153618.82,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2020,0,0.0,2599755,0,0.0,0.0,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2021,3,537994.02,0,0,1471833.66,1471833.66,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2021,4,34515.91,0,0,36480.41,36480.41,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2021,5,175758.83,0,0,0.0,0.0,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2021,6,564703.56,0,0,0.0,0.0,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2021,7,28799.3,0,0,11934.91,36480.41,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2021,8,11934.86,0,0,0.0,11934.91,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2021,9,22548.12,0,0,0.0,0.0,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2021,12,29756.09,0,0,0.0,0.0,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2021,0,0.0,1731810,0,0.0,0.0,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2022,3,123052.58,0,0,132714.49,123052.58,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2022,9,0.0,0,0,5000.0,5000.0,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2022,11,5000.0,0,0,0.0,0.0,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2022,12,21312.61,0,0,11650.71,21312.61,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2022,0,0.0,330799,0,0.0,0.0,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2023,0,0.0,33157,33157,0.0,0.0,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
