investment_code,COD_UNICO,DES_TIPO,COD_MES,PERIODO,MTO_ACT,FEC_PFA
2541814,2541814,ACTUALIZADO,4,2026-04,0.0,2026-02-24 18:03:59
2541814,2541814,ACTUALIZADO,7,2026-07,39804.0,2026-02-24 18:03:59
2541814,2541814,ACTUALIZADO,9,2026-09,34118.0,2026-02-24 18:03:59
2541814,2541814,ACTUALIZADO,11,2026-11,0.0,2026-02-24 18:03:59
2423388,2423388,ACTUALIZADO,9,2026-09,0.0,2026-01-28 22:42:14
2423388,2423388,ACTUALIZADO,6,2026-06,0.0,2026-01-28 22:42:14
2423388,2423388,ACTUALIZADO,2,2026-02,0.0,2026-01-28 22:42:14
2423388,2423388,ACTUALIZADO,5,2026-05,0.0,2026-01-28 22:42:14
2423388,2423388,ACTUALIZADO,1,2026-01,0.0,2026-01-28 22:42:14
2423388,2423388,ACTUALIZADO,3,2026-03,0.0,2026-01-28 22:42:14
2423388,2423388,ACTUALIZADO,4,2026-04,0.0,2026-01-28 22:42:14
2423388,2423388,ACTUALIZADO,8,2026-08,0.0,2026-01-28 22:42:14
2423388,2423388,ACTUALIZADO,12,2026-12,4119750.0,2026-01-28 22:42:14
2423388,2423388,ACTUALIZADO,7,2026-07,0.0,2026-01-28 22:42:14
2423388,2423388,ACTUALIZADO,10,2026-10,0.0,2026-01-28 22:42:14
2423388,2423388,ACTUALIZADO,11,2026-11,0.0,2026-01-28 22:42:14
2666634,2666634,ACTUALIZADO,3,2026-03,0.0,2026-02-26 17:11:58
2666634,2666634,ACTUALIZADO,9,2026-09,0.0,2026-02-26 17:11:58
2666634,2666634,ACTUALIZADO,1,2026-01,0.0,2026-02-26 17:11:58
2666634,2666634,ACTUALIZADO,2,2026-02,0.0,2026-02-26 17:11:58
2666634,2666634,ACTUALIZADO,4,2026-04,0.0,2026-02-26 17:11:58
2666634,2666634,ACTUALIZADO,10,2026-10,0.0,2026-02-26 17:11:58
2666634,2666634,ACTUALIZADO,6,2026-06,0.0,2026-02-26 17:11:58
2666634,2666634,ACTUALIZADO,11,2026-11,0.0,2026-02-26 17:11:58
2666634,2666634,ACTUALIZADO,8,2026-08,0.0,2026-02-26 17:11:58
2666634,2666634,ACTUALIZADO,12,2026-12,0.0,2026-02-26 17:11:58
2666634,2666634,ACTUALIZADO,7,2026-07,0.0,2026-02-26 17:11:58
2666634,2666634,ACTUALIZADO,5,2026-05,0.0,2026-02-26 17:11:58
2692290,2692290,ACTUALIZADO,2,2026-02,15135.59,2026-03-16 14:43:52
2692290,2692290,ACTUALIZADO,4,2026-04,230957.5,2026-03-16 14:43:52
2692290,2692290,ACTUALIZADO,8,2026-08,0.0,2026-03-16 14:43:52
2692290,2692290,ACTUALIZADO,12,2026-12,0.0,2026-03-16 14:43:52
2692290,2692290,ACTUALIZADO,7,2026-07,0.0,2026-03-16 14:43:52
2692290,2692290,ACTUALIZADO,5,2026-05,200000.0,2026-03-16 14:43:52
2692290,2692290,ACTUALIZADO,9,2026-09,0.0,2026-03-16 14:43:52
2692290,2692290,ACTUALIZADO,1,2026-01,8551.66,2026-03-16 14:43:52
2692290,2692290,ACTUALIZADO,11,2026-11,0.0,2026-03-16 14:43:52
2692290,2692290,ACTUALIZADO,3,2026-03,230957.5,2026-03-16 14:43:52
2692290,2692290,ACTUALIZADO,6,2026-06,238227.75,2026-03-16 14:43:52
2692290,2692290,ACTUALIZADO,10,2026-10,0.0,2026-03-16 14:43:52
2610614,2610614,ACTUALIZADO,2,2026-02,0.0,2026-02-19 16:21:26
2610614,2610614,ACTUALIZADO,6,2026-06,0.0,2026-02-19 16:21:26
2610614,2610614,ACTUALIZADO,10,2026-10,0.0,2026-02-19 16:21:26
2610614,2610614,ACTUALIZADO,9,2026-09,0.0,2026-02-19 16:21:26
2610614,2610614,ACTUALIZADO,5,2026-05,0.0,2026-02-19 16:21:26
2610614,2610614,ACTUALIZADO,8,2026-08,0.0,2026-02-19 16:21:26
2610614,2610614,ACTUALIZADO,12,2026-12,0.0,2026-02-19 16:21:26
2610614,2610614,ACTUALIZADO,4,2026-04,0.0,2026-02-19 16:21:26
2610614,2610614,ACTUALIZADO,3,2026-03,0.0,2026-02-19 16:21:26
2610614,2610614,ACTUALIZADO,7,2026-07,0.0,2026-02-19 16:21:26
2610614,2610614,ACTUALIZADO,1,2026-01,0.0,2026-02-19 16:21:26
2610614,2610614,ACTUALIZADO,11,2026-11,0.0,2026-02-19 16:21:26
2709662,2709662,ACTUALIZADO,8,2026-08,0.0,2026-01-13 14:39:16
2709662,2709662,ACTUALIZADO,4,2026-04,171026.3,2026-01-13 14:39:16
2709662,2709662,ACTUALIZADO,11,2026-11,0.0,2026-01-13 14:39:16
2709662,2709662,ACTUALIZADO,1,2026-01,0.0,2026-01-13 14:39:16
2709662,2709662,ACTUALIZADO,6,2026-06,0.0,2026-01-13 14:39:16
2709662,2709662,ACTUALIZADO,2,2026-02,40000.0,2026-01-13 14:39:16
2709662,2709662,ACTUALIZADO,5,2026-05,171026.3,2026-01-13 14:39:16
2709662,2709662,ACTUALIZADO,7,2026-07,0.0,2026-01-13 14:39:16
2709662,2709662,ACTUALIZADO,10,2026-10,0.0,2026-01-13 14:39:16
2709662,2709662,ACTUALIZADO,3,2026-03,171026.3,2026-01-13 14:39:16
2709662,2709662,ACTUALIZADO,9,2026-09,0.0,2026-01-13 14:39:16
2709662,2709662,ACTUALIZADO,12,2026-12,0.0,2026-01-13 14:39:16
2508582,2508582,ACTUALIZADO,7,2026-07,0.0,2026-02-24 19:23:11
2508582,2508582,ACTUALIZADO,1,2026-01,0.0,2026-02-24 19:23:11
2508582,2508582,ACTUALIZADO,3,2026-03,0.0,2026-02-24 19:23:11
2508582,2508582,ACTUALIZADO,4,2026-04,0.0,2026-02-24 19:23:11
2508582,2508582,ACTUALIZADO,9,2026-09,0.0,2026-02-24 19:23:11
2508582,2508582,ACTUALIZADO,6,2026-06,0.0,2026-02-24 19:23:11
2508582,2508582,ACTUALIZADO,10,2026-10,0.0,2026-02-24 19:23:11
2508582,2508582,ACTUALIZADO,12,2026-12,0.0,2026-02-24 19:23:11
2508582,2508582,ACTUALIZADO,2,2026-02,0.0,2026-02-24 19:23:11
