investment_code,CODIGO_UNICO,NUM_ANIO,COD_MES,MTO_DEVEN,MTO_CERT,MTO_COMPROM
2048877,2048877,2007,12,6252.03,0.0,6252.03
2048877,2048877,2008,1,500.0,0.0,500.0
2048877,2048877,2008,2,6286.62,0.0,6286.62
2048877,2048877,2008,3,10779.55,0.0,10779.55
2048877,2048877,2008,4,11869.99,0.0,11869.99
2048877,2048877,2008,5,59922.82,0.0,59922.82
2048877,2048877,2008,6,4459.64,0.0,4459.64
2048877,2048877,2008,10,1806.4,0.0,1806.4
2048877,2048877,2015,8,8000.0,0.0,8000.0
2617573,2617573,2025,5,122963.51,122963.51,122963.51
2617573,2617573,2025,6,135258.72,135258.72,135258.72
2617573,2617573,2025,7,476885.59,476885.59,476885.59
2617573,2617573,2025,8,45117.62,398916.16,398916.16
2617573,2617573,2025,9,353798.51,0.0,0.0
2270576,2270576,2015,10,38881.14,44881.14,44881.14
2270576,2270576,2015,11,20543.31,32616.88,23662.88
2270576,2270576,2015,12,28732.88,14631.69,23585.69
2270576,2270576,2016,3,2624.36,2822.4,2822.4
2270576,2270576,2017,3,2822.4,0.0,0.0
2320661,2320661,2018,7,24000.0,0.0,0.0
2320661,2320661,2018,10,32000.0,0.0,0.0
2320661,2320661,2018,12,32000.0,0.0,0.0
2091539,2091539,2009,12,38617.4,0.0,38617.4
2091539,2091539,2010,1,13743.0,0.0,13743.0
2091539,2091539,2010,2,9245.0,0.0,9245.0
