investment_code,CODIGO_UNICO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_GIRADO,DEV_ANIO1,PER_PRIM_DEVENG,PER_ULT_DEVENG
2574298,2574298,15558010.69,4047410,5819353,15548890.69,1243793.6,202403,202603
2015746,2015746,1705187.93,0,0,1705162.43,0.0,200606,200706
2609041,2609041,16300.0,0,0,16300.0,0.0,202312,202312
2474711,2474711,1571003.14,0,0,0.0,0.0,202107,202506
2226404,2226404,8250.0,0,0,8250.0,0.0,201306,201306
2534079,2534079,1148326.59,0,0,1148326.59,0.0,202211,202410
2652079,2652079,5317338.64,4935699,4935699,5317338.64,0.0,202410,202410
2131545,2131545,487850.09,0,0,485850.09,0.0,201012,201106
2709403,2709403,29400.0,0,0,20580.0,0.0,202512,202512
2178873,2178873,36200.0,0,0,36200.0,0.0,201307,201309
2094159,2094159,96850983.55,0,0,91774296.18,0.0,200909,201108
2526351,2526351,1676997.69,0,0,1676997.69,0.0,202203,202307
2196720,2196720,889351.02,0,0,889351.02,0.0,201409,201810
2485439,2485439,157719.99,0,0,49360.27,0.0,202101,202110
2116045,2116045,2013202.19,0,0,2005206.33,0.0,201009,201206
2254725,2254725,44150.0,0,0,44150.0,0.0,201505,201705
2697845,2697845,121454.6,0,0,121454.6,0.0,202507,202512
2155719,2155719,27800.0,0,0,27800.0,0.0,201206,201206
2701145,2701145,50746.0,1466025,0,50746.0,0.0,202512,202512
2703092,2703092,92222.96,8740,0,92222.96,8740.0,202512,202601
2561909,2561909,0.0,0,0,0.0,0.0,,
2199224,2199224,216630.26,0,0,216630.26,0.0,201510,201610
2023375,2023375,37421.39,0,0,37421.39,0.0,200902,201302
2295046,2295046,205488.0,0,0,203188.0,0.0,201708,201812
2117188,2117188,6500.0,0,0,6500.0,0.0,201012,201012
2459491,2459491,135919.18,0,0,135919.18,0.0,202012,202403
2052711,2052711,500.0,0,0,500.0,0.0,200709,200709
2599360,2599360,0.0,1239340,1239340,0.0,0.0,,
2458392,2458392,9105118.23,0,0,9104900.56,0.0,202112,202512
2409063,2409063,15200.0,0,0,15200.0,0.0,201807,201812
2642511,2642511,28000.0,962337,0,28000.0,0.0,202412,202412
2341212,2341212,1728086.16,0,0,1728086.16,0.0,201802,202312
2112606,2112606,6760548.23,0,0,6760548.23,0.0,201305,202007
2090825,2090825,152027686.87,0,0,150134622.04,0.0,200908,202512
2456775,2456775,395845.99,0,0,395845.99,0.0,201910,202112
2480406,2480406,1067603.43,0,0,1067603.43,0.0,202109,202311
2308370,2308370,41686.8,0,0,41686.8,0.0,201703,201703
2524861,2524861,34000.0,0,0,34000.0,0.0,202110,202110
2469861,2469861,32500.0,0,0,32500.0,0.0,201912,201912
2527434,2527434,95666.6,0,0,95666.6,0.0,202112,202206
2651902,2651902,0.0,2947937,0,0.0,0.0,,
2178273,2178273,100528.19,0,0,100528.19,0.0,201306,201310
2215725,2215725,6902672.05,0,0,6902672.05,0.0,201303,201812
2525243,2525243,38260.0,0,0,38260.0,0.0,202108,202108
2444878,2444878,21870.0,0,0,21870.0,0.0,202012,202012
2142749,2142749,1099120.19,0,0,1099120.19,0.0,201203,201212
2108138,2108138,40556.33,0,0,40122.33,0.0,200911,201003
2504112,2504112,15000.0,0,0,15000.0,0.0,202106,202106
2708317,2708317,193896.17,0,0,193896.17,0.0,202511,202512
2437952,2437952,59800.0,0,0,59800.0,0.0,201911,201912
2573276,2573276,41000.0,0,0,41000.0,0.0,202404,202404
2437129,2437129,5587188.35,0,0,5587188.35,0.0,201904,202404
2603372,2603372,30000.0,0,0,30000.0,0.0,202311,202405
2453901,2453901,4057354.21,0,0,4057354.21,0.0,201911,202408
2600438,2600438,39000.0,578530,999321,39000.0,0.0,202311,202311
2625257,2625257,18000.0,0,0,18000.0,0.0,202312,202312
2697167,2697167,0.0,12000,0,0.0,0.0,,
2713215,2713215,40000.0,20000,0,40000.0,20000.0,202512,202603
2500085,2500085,9140017.86,2492181,5933894,9140017.86,47589.15,202012,202603
2406476,2406476,3638302.26,0,0,3638302.26,0.0,201803,202504
2651284,2651284,35000.0,0,0,35000.0,0.0,202410,202410
2533188,2533188,39000.0,0,0,39000.0,0.0,202305,202511
2165860,2165860,551351.02,0,0,551351.02,0.0,201305,201311
2257728,2257728,20106792.64,42293,1124,19738483.38,32417.83,201508,202601
2612177,2612177,151424.45,0,0,151424.45,0.0,202407,202506
2324111,2324111,15000.0,0,0,15000.0,0.0,201706,201802
2424103,2424103,761155.39,0,0,761155.39,0.0,201902,201912
2629131,2629131,0.0,0,0,0.0,0.0,,
2153602,2153602,349152.5,0,0,345912.5,0.0,201204,201411
2537225,2537225,236730.0,0,0,236730.0,0.0,202204,202312
2433094,2433094,28500.0,0,0,28500.0,0.0,201812,201812
2618266,2618266,8985.8,0,131330,8983.8,0.0,202506,202510
2668224,2668224,41500.0,40000,0,41500.0,0.0,202506,202512
2127641,2127641,321620.74,0,0,321620.74,0.0,201103,201210
